,l1,l2,l3,phrase
0,0,1.0,0.0,Test MOA Emilien Satisfait 9h40 
1,1,0.0,0.0,bah euh jai pas eu de reponse
4,1,0.0,0.0,temps de reponse trop long 15min entre la question (simple) et la reponse non satisfaisante
5,1,0.0,0.0,On ne peut pas regarder le message et donc la reponse par apres..... tres embetant
8,0,0.0,1.0,ECHANGE TRES IMPORTANT QUI A PU REPONDRE PARFAITEMENT A MES INTERROGATIONS
10,0,0.0,1.0,Rapide et efficace
12,0,0.0,1.0,reponses claires
14,1,0.0,0.0,"Reponse non obtenue, conversation interrompue"
15,1,0.0,0.0,aucune reponse a ma demande
18,0,0.0,1.0,Parfait et tres bon accueil :)
19,0,1.0,0.0,"pas encore client, mais deja un service qui fonctionne bien"
20,0,0.0,1.0,"informations detaillees, cordialite"
23,0,0.0,1.0,super 
27,0,1.0,0.0,reponse pas conforme a votre page de presentation
29,0,0.0,1.0,Merci pour les conseils a bientot sur Hellobank
32,1,0.0,0.0,temps de reponse et efficacite
33,0,0.0,1.0,rapidite et precision.
37,0,0.0,1.0,"Parfait, explications claires et concises, conseillere agreable. Je remercie Aminata pour ses explications."
39,0,0.0,1.0,rapide et conci
40,1,0.0,0.0,aucune reponse
42,0,0.0,1.0,Reponses apportees satisfaisantes
43,0,1.0,0.0,"Merci de votre part
"
44,1,0.0,0.0,communication coupee
48,1,0.0,0.0,Alors la conversation a ete termine sans meme que le conseiller me reponde!!!! et on ne sait toujours pas me repondre!!!! tres mecontente.
52,1,0.0,0.0,Attente de plusieurs minutes entre chaque echange... Aucune information pertinente... Ne donne absolument pas envie de souscrire a vos services dans ces conditions.. :-(
53,0,1.0,0.0,reponse a nos attentes
55,1,0.0,0.0,Le conseiller a coupe la conversation sans meme me repondre
56,0,1.0,0.0,aucune solution a part attendre...
57,1,0.0,0.0,Aucune reponse
61,0,0.0,1.0,Reponse rapide a ma demande alors que la plateforme telephonique etait saturee.
64,0,0.0,1.0,"tres clair et precis, si seulement je pouvais tomber sur cette personne sur le chat a chaque fois que j aurai besoin de renseignements !  "
70,0,1.0,0.0,Reponses apportees en partie pas eu toutes les precisions demandees renvoye sur le site pour avoir des precisions
71,1,0.0,0.0,aucune reponse a ma question...c est decourageant d ouvrirun compte
72,1,0.0,0.0,"fin de conversation apres le bonjour
"
73,0,1.0,0.0,Merci!
76,1,0.0,0.0,Coupe en cours de conversation !
77,0,1.0,0.0,La demande de retractation a ete faite rapidement via le chat (motif delais beaucoup trop long)
79,0,0.0,1.0,"Prise en charge rapide, explications claire et precises, interlocuteur tres agreable"
84,0,0.0,1.0,Bon relation client. Conseillere Adeline tres sympa.
85,0,0.0,1.0,Le conseiller a ete reactif et precis.
86,1,0.0,0.0,pas de reponse a ma demande 
87,0,0.0,1.0,Politesse et douceur.
89,0,0.0,1.0,"Amir, conseiller AU TOP !"
90,1,0.0,0.0,"Les conseillers raccroche lorsque le message est genant exemple : impossible de se conecter a votre compte (en restant courtoit evidemment)
"
91,0,1.0,0.0,"bon conseiller, mais malheuresement impossible de reoudre ma demande"
92,0,0.0,1.0,merci a la Hello Team
95,0,0.0,1.0,"reponses rapides, precises, claires et completes"
98,1,0.0,0.0,aucune possiblite de parler a une personne plus avisee!!  bonjour en cas de pb!!
101,0,1.0,0.0,https://twitter.com/HiQuentin/status/752809997164240898
105,1,0.0,0.0,"Coupure direct et pas de reponse a la question.
Service pitoyable !"
107,1,0.0,0.0,Bonjour je vous suggere de proposer la carte visa premier avec 10000 euros d epargne. Chez Boursormam on obtient la visa premier avec 5000 euros d epargne 
111,0,0.0,1.0,Rapide et clair
113,0,1.0,0.0,Reponses tres claires
115,1,0.0,0.0,lamentable service client
116,0,0.0,1.0,echange rapide efficace courtois   
118,1,0.0,0.0,"Le conseiller a couper le TCHAT sans raison
"
121,1,0.0,0.0,beaucoup de temps pour repondre... incompetence... on ma froidement rediriger vers le 0800... inacceptable !!!
124,1,0.0,0.0,manque de reactivite peut etre?
125,0,1.0,0.0,a propos des question er repeonses  voila sans plus quoi!
128,0,0.0,1.0,"tres pratique le chat, la reponse a ma question a ete immediate."
130,0,0.0,1.0,"Vraiment tres satisfaisant, reactif et clair. HB a gagne une cliente "
132,0,0.0,1.0,rapide et efficace
133,0,0.0,1.0,Reponse rapide
134,1,0.0,0.0,meconnaissance des produits et manque de service
135,1,0.0,0.0,pas de reponse
136,0,0.0,1.0,Reponse claire et rapide
137,1,0.0,0.0,"TELEPHONE INJOIGNABLE? PAS DE REPONSE A MA QUESTION, VOUS ETES UNE BANQUE FANTOME???"
138,1,0.0,0.0,"aucune comprehension
"
139,0,0.0,1.0,"Simple, efficace"
141,1,0.0,0.0,"conversation coupee avant la fin, pas de reponse au probleme, pas tres prometteur comme communication pour la suite."
143,0,1.0,0.0,TETS MOA EMILIEN 15h17 19/07/2016
144,0,0.0,1.0,Reponse tres precises et professionnelles
149,0,0.0,1.0,clair et limpide
152,1,0.0,0.0,Pas de reponse a ma question.Conversation coupee sans reponse
154,0,0.0,1.0,reponse rapide
155,1,0.0,0.0,conseiller ne repond pas
157,0,0.0,1.0,RAPIDE ET PRECIS
158,1,0.0,0.0,Pas de reponses claires aux questions posees. 
159,0,1.0,0.0,rapide et concis
160,0,0.0,1.0,"Apres tres long delai initial, des informations fournis rapidement."
164,1,0.0,0.0,Conversation coupee sans reponse :((((
165,0,0.0,1.0,"Reactivite, efficacite"
169,0,0.0,1.0,Ma correspondante a ete tres reactive et a traitee ma demande rapidement.
170,1,0.0,0.0,c de la merde hello bank
171,0,0.0,1.0,augmentez adeline
172,0,0.0,1.0,reponse claire et action rapide 
173,0,0.0,1.0,Conseiller tres efficace et tres reactif
177,0,1.0,0.0,Obtention de la carte visa premier
182,0,1.0,0.0,"Les conseiller ne peux pas parler Anglais. Ils sont pas access a voir l etat de mon dossier, donc ils ne peuvent pas repondre a mes questions. Le dashboard du chat bug. 

"
185,0,0.0,1.0,"l echange a pu repondre a ma question dans un delai optimum, merci a vous."
186,1,0.0,0.0,c est la 4eme fois que je signale le meme probleme et toujours rien!!!!
187,0,0.0,1.0,"Rien a dire, service parfait"
188,0,1.0,0.0,"le conseiller contacte le service dedie pour un traitement en urgence, donc cela me convient"
189,1,0.0,0.0,La conversation s est close sans que je n obtienne aucune reponse
190,0,0.0,1.0,Chat tres rapide et une reponse parfaite
191,1,0.0,0.0,L echange a ete interrompu par le conseiller apres m avoir reproche d utiliser le mot  prelevement  plutot que  paiement par carte . Rien n a ete regle.
192,0,1.0,0.0,"impression Durant l echange : conseiller peu motive, lent et manque de dynamisme, on dirait qu on l embete"
193,1,0.0,0.0,Le conseiller a coupe le chat 
194,0,1.0,0.0,pas eu de reponse concrete a mes questions
195,1,0.0,0.0,Cela fait 3 fois que je laisse un message et on me ferme la fenetre sans me repondre.... Inadmissible
196,1,0.0,0.0,Cette fois j ai pu poser me question mais je n ai recu aucune reponse et le chat a ete termine.
197,0,0.0,1.0,Rapidite de prise en charge. Et rapidite de reponse. En esperant qu elle soit correcte.
198,0,1.0,0.0,Hello Bank n accepte pas les Francais non residents fiscal en France. Ca ne me satisfait pas vraiment.
200,0,0.0,1.0,"conseiller reactif merci a lui, mon pb est regle apparemment, ouverture de compte finalisee ds qqes jours "
201,1,0.0,0.0,je n ai pas eu le temps de lire la reponse du conseiller que la fenetre affichait conversation terminee... 
203,0,0.0,1.0,"Ariana, the best there is. Sharp information, polite, clever, friendly. Some of your counselors could learn from her ;)"
204,0,1.0,0.0,TEST MOA EMILIEN 9h25 - 27/07/2016
205,0,1.0,0.0,TEST MOA EMILIEN 9h30 27/07/2016
206,1,0.0,0.0,"Je demande l avancement de mon dossier car ce dernier est bloque je ne sais pour quelle raison, resultat on me demande d appeler!!! C est un peu complique toutes ces demarches..."
207,0,1.0,0.0,"Reponses simples et precises, mais un peu deshumanise je trouve."
208,0,0.0,1.0,tres bien renseigner
209,1,0.0,0.0,On ne m a jamais repondu...
210,0,1.0,0.0,information contradictoire entre la personne du chat et celle que j  ai eu au telephone
211,1,0.0,0.0,Incapable de donner une reponse 
212,1,0.0,0.0,Aucune reponse de la part du conseille
213,0,1.0,0.0,TEST MOA EMILIEN 10H02 28/07/2016
214,0,0.0,1.0,Rapidite et simplicite des echanges
215,1,0.0,0.0,Aucune reponse
216,0,1.0,0.0,Je n ai pas eu d infos sur le delai de validation de la creation du compte
217,1,0.0,0.0,NUL
218,0,1.0,0.0,la rapidite
219,0,0.0,1.0,tres bien
220,0,0.0,1.0,rapide et efficace
221,0,0.0,1.0,Reponses claires
222,0,1.0,0.0,"N?ayant pas recu de document depuis un mois apres inscription, j?ai du faire une demande de renvoi de documents, il me manque toujours l?identifiant, alors que j?ai recu la carte bancaire et le code personnel? Peu encourageant tous ces courriers ! "
223,0,1.0,0.0,Reponse claire
224,1,0.0,0.0,N a pas fini de repondre a mes questions.
225,0,1.0,0.0,je n ai pas eu les informations demandees concernant le traitement de ma demande de credit personnel
226,0,0.0,1.0,je pense ouvrir un compte
227,1,0.0,0.0,Service lamentable. je change de banque.
228,1,0.0,0.0,Conversation coupee en cours de route !!
229,1,0.0,0.0,pas de solution adequate
230,0,1.0,0.0,offre de bienvenue plus basse que les concurents
231,0,0.0,1.0,"la solution du changement de navigateur etait la bonne:-)
votre site fonctionne bien sur IES et moins sur firefox"
232,0,0.0,1.0,obligation d avoir 2 portables pour compte joint !!!!!!
235,1,0.0,0.0,je suis decue le conseiller ne m a pas vraiment repondu
236,0,0.0,1.0,Benoit est un conseiller tres agreable!
237,0,1.0,0.0,temps attente des reponses quelques fois longues
238,0,0.0,1.0,Clarte et rapidite des messages. 
239,0,1.0,0.0,informations completes
240,0,0.0,1.0,"Tres utile, merci!"
241,1,0.0,0.0,j attendais des nouvelles de Melanie et aucune reponse
242,0,0.0,1.0,"J ai obtenu les reponses aux questions que je posais, sans difficutes"
243,1,0.0,0.0,"Aucune reponse. Temps d attente entre deux message d environ deux minutes. Il faut avoir du temps, beaucoup de temps a perdre ! :/"
244,0,1.0,0.0,J aurais aime pouvoir sauvegarder ma conversation
246,1,0.0,0.0,"Le conseiller ne donnait pas suite a mes questions. Par ailleurs, il s exprimait mal."
247,1,0.0,0.0,Aucune reponse a mon probleme 
248,1,0.0,0.0,je n ai pas resolu mon probleme suite au tranfert de mon compte Bnp vers Hello Bank
249,0,1.0,0.0,"Je n ai eu que des liens vers des sites que j ai deja pu consulter et aucune information complementaire, je suis plutot decue"
250,0,0.0,1.0,le chat est reactif 
251,0,1.0,0.0,Satisfait de cet echange
253,1,0.0,0.0,reponse completement insatisfaisante ! 
254,0,0.0,1.0,rapidite de reponse
255,1,0.0,0.0,PAs de reponse
256,1,0.0,0.0,"Je n ai pas eu de reponse pendant les 1ere 20 minutes, puis quand je suis retourne sur la fenetre un peu plus tard, la conversation etait fermee... resultat = aucune reponse"
257,0,1.0,0.0,"je n ai pas eu de solution, alors que ma question etait simple"
258,0,1.0,0.0,Clair et efficace
259,0,0.0,1.0,Merci Sebastian pour votre aide.
260,0,1.0,0.0,"BONNES REPONSES
MAIS UEN FOIS QUE LE CONSEILLER  A FERMER LA CONVERSARTION JAI PAS PU VOIR LA REPONSE CAR JAI EU UN COUP D ETELEPHONE"
261,0,0.0,1.0,"Noemie est tres gentille et serviable, m a aide dans mes demandes et m a conseillee sur d autres sujets auxquels on ne pense pas forcement. Je recommande !!!"
263,0,0.0,1.0,tenu compte de ma demande
265,0,1.0,0.0,esperons que cela va vraiment accelerer les choses... mon dossier est en attente depuis 1 mois !
267,0,0.0,1.0,tres bien renseigne et tres claire et tres gentil merci a alexis
268,0,1.0,0.0,"la conseillere etait longue a repondre de plus on chipote pour une adresse qui de plus est bonne, le debut de notre collaboration commence mal"
270,0,1.0,0.0,Solution apportee a mon probleme.
272,1,0.0,0.0,coupure de la conversation avant reponse finale.
273,0,0.0,1.0,"Cool d avoir pu traiter ma demande par chat, mes enfants sont a la sieste, je voulais gerer ca en mode  silence ..."
275,1,0.0,0.0,"Aucune precision sur l avancement de mon dossier , probleme non resolu, reponse tres vague "
276,0,1.0,0.0,temps d attente pour l ouverture d un compte tres long !
278,0,0.0,1.0,"Vous ne misez pas sur l avenir je suis en derniere annee d ecole de commerce et je suis en alternance, je dois faire un depot de 5000 EUROS pour pouvoir ouvrir un compte chez vous. C est regrettable..."
279,0,0.0,1.0,parfait dommage qu on ne puisse pas ouvrir de compte pour un mineur ...
280,0,0.0,1.0,"Temps d attente nul, reactivite du conseiller, reponse rapide"
281,0,0.0,1.0,Rapidite de reponse et clarete de reponse
282,0,0.0,1.0,"Tres satisfait, le conseiller etait tres efficace"
283,1,0.0,0.0,"aucun service, nous ne sommes que des numero. les situations exceptionnelle ne sont pas prise en compte contrairement a boursorama. je fermerai donc mon compte chez."
284,0,0.0,1.0,Des reponses claires et rapides a mes questions
285,1,0.0,0.0,20min sans reponses d un conseiller...
286,0,0.0,1.0,Perrine semble avoir compris mon probleme et m a promis la solution par courrier a Ma nouvelle adresse a Lambesc.
287,0,0.0,1.0,"Facilite, merci Emilie"
288,0,1.0,0.0,le temps d attente de reponse apres chaque question est trop long
289,0,0.0,1.0,evite de longue attende au telephone 
291,0,0.0,1.0,sympathique et efficace
292,1,0.0,0.0,"pas de reactivite
"
293,1,0.0,0.0,bloquer en plein milieu sans aucune aide
294,0,1.0,0.0,"je pensais ne plus etre en ligne , car je n avais plus de reponse, mais ensuite cela s est arrange"
295,0,1.0,0.0,"reponses claires, rapides et precises"
296,0,1.0,0.0,le conseiller a pris en charge ma demande et a effectue la commande de mon moyen de paiement qui n avait pas ete fait il y a 10 jours comme cela aurait du...
297,0,1.0,0.0,"Ca fait une semaine que je fais les demarches pour ouvrir un compte, a chaque fois que je parle a quelqu un sur le Chat, on me donne des reponses differentes
"
298,0,1.0,0.0,"Cela fait deja 3 semaines que j attends, ce n est pour qu on me dise qu il y a encore un delai de traitement de 3 jours ouvres !!
"
299,1,0.0,0.0,"je n ai pas fini de poser mes questions et je n ai eu aucun retour
"
300,1,0.0,0.0,Conversation coupee sans prevenir...
301,0,0.0,1.0,Reponse immediate et adaptee
303,1,0.0,0.0,On a ferme la fenetre de conversation !
304,0,0.0,1.0,C etait agreable et precis
305,0,0.0,1.0,"Clair, net, precis"
306,0,0.0,1.0,Rapide et efficace
307,0,0.0,1.0,reactivite -rapidite
308,1,0.0,0.0,votre service est decevant 
309,1,0.0,0.0,desolee mais je n ai pas vu de reponse...
310,0,1.0,0.0,Quelques infos interessantes mais surtout le fait qu il faut attendre ...
313,0,1.0,0.0,J ai obtenu via ce chat des informations contradictoires avec ce que d autres conseillers HELLOBANK! avaient pu me donner precedemment...
315,1,0.0,0.0,Oblige d insister pour obtenir une information ... 
316,1,0.0,0.0,la personne n a nullement repondu a mes messages ... abonne absent ...
317,0,1.0,0.0,je n ai pas eu de reponse
320,1,0.0,0.0,Aucune reponse clair depuis des mois!
322,0,1.0,0.0,j ai eu la reponse a mes question. Rien a dire
323,0,1.0,0.0,"Je n ai recu aucune reponse de la part du conseiller, je parlais seul"
324,1,0.0,0.0,nul pas de reponse
325,0,1.0,0.0,reponse rapide et annotation dans mon dossier de la fourniture d un justificatif 
326,0,1.0,0.0,tres bons renseignements et rapides
328,1,0.0,0.0,La conversation a ete coupee par l interlocuteur brutalement !
329,0,0.0,1.0,Conseillere tres reactive et qui a bien repondu a ma demande.
330,0,1.0,0.0,"Conseiller et reponse attendue correcte dans des delais correctes, le seul souci c est trouver l option  chat avec conseiller  dans le menu d accueil, il est cache alors que ce mode de conversation est TRES pratique"
331,1,0.0,0.0,je n ai pas recu de reponse
332,0,1.0,0.0,Tres bien
