,negatif,neutre,positif,verbatim
0,0,1.0,0.0,Test MOA Emilien Satisfait 9h40 
1,1,0.0,0.0,bah euh jai pas eu de reponse
2,1,0.0,0.0,temps de reponse trop long 15min entre la question (simple) et la reponse non satisfaisante
3,1,0.0,0.0,On ne peut pas regarder le message et donc la reponse par apres..... tres embetant
4,0,0.0,1.0,ECHANGE TRES IMPORTANT QUI A PU REPONDRE PARFAITEMENT A MES INTERROGATIONS
5,0,0.0,1.0,Rapide et efficace
6,0,0.0,1.0,reponses claires
7,1,0.0,0.0,"Reponse non obtenue, conversation interrompue"
8,1,0.0,0.0,aucune reponse a ma demande
9,0,0.0,1.0,Parfait et tres bon accueil :)
10,0,1.0,0.0,"pas encore client, mais deja un service qui fonctionne bien"
11,0,0.0,1.0,"informations detaillees, cordialite"
12,0,0.0,1.0,super 
13,0,1.0,0.0,reponse pas conforme a votre page de presentation
14,0,0.0,1.0,Merci pour les conseils a bientot sur Hellobank
15,1,0.0,0.0,temps de reponse et efficacite
16,0,0.0,1.0,rapidite et precision.
17,0,0.0,1.0,"Parfait, explications claires et concises, conseillere agreable. Je remercie Aminata pour ses explications."
18,0,0.0,1.0,rapide et conci
19,1,0.0,0.0,aucune reponse
20,0,0.0,1.0,Reponses apportees satisfaisantes
21,0,1.0,0.0,"Merci de votre part
"
22,1,0.0,0.0,communication coupee
23,1,0.0,0.0,Alors la conversation a ete termine sans meme que le conseiller me reponde!!!! et on ne sait toujours pas me repondre!!!! tres mecontente.
24,1,0.0,0.0,Attente de plusieurs minutes entre chaque echange... Aucune information pertinente... Ne donne absolument pas envie de souscrire a vos services dans ces conditions.. :-(
25,0,1.0,0.0,reponse a nos attentes
26,1,0.0,0.0,Le conseiller a coupe la conversation sans meme me repondre
27,0,1.0,0.0,aucune solution a part attendre...
28,1,0.0,0.0,Aucune reponse
29,0,0.0,1.0,Reponse rapide a ma demande alors que la plateforme telephonique etait saturee.
30,0,0.0,1.0,"tres clair et precis, si seulement je pouvais tomber sur cette personne sur le chat a chaque fois que j aurai besoin de renseignements !  "
31,0,1.0,0.0,Reponses apportees en partie pas eu toutes les precisions demandees renvoye sur le site pour avoir des precisions
32,1,0.0,0.0,aucune reponse a ma question...c est decourageant d ouvrirun compte
33,1,0.0,0.0,"fin de conversation apres le bonjour
"
34,0,1.0,0.0,Merci!
35,1,0.0,0.0,Coupe en cours de conversation !
36,0,1.0,0.0,La demande de retractation a ete faite rapidement via le chat (motif delais beaucoup trop long)
37,0,0.0,1.0,"Prise en charge rapide, explications claire et precises, interlocuteur tres agreable"
38,0,0.0,1.0,Bon relation client. Conseillere Adeline tres sympa.
39,0,0.0,1.0,Le conseiller a ete reactif et precis.
40,1,0.0,0.0,pas de reponse a ma demande 
41,0,0.0,1.0,Politesse et douceur.
42,0,0.0,1.0,"Amir, conseiller AU TOP !"
43,1,0.0,0.0,"Les conseillers raccroche lorsque le message est genant exemple : impossible de se conecter a votre compte (en restant courtoit evidemment)
"
44,0,1.0,0.0,"bon conseiller, mais malheuresement impossible de reoudre ma demande"
45,0,0.0,1.0,merci a la Hello Team
46,0,0.0,1.0,"reponses rapides, precises, claires et completes"
47,1,0.0,0.0,aucune possiblite de parler a une personne plus avisee!!  bonjour en cas de pb!!
48,0,1.0,0.0,https://twitter.com/HiQuentin/status/752809997164240898
49,1,0.0,0.0,"Coupure direct et pas de reponse a la question.
Service pitoyable !"
50,1,0.0,0.0,Bonjour je vous suggere de proposer la carte visa premier avec 10000 euros d epargne. Chez Boursormam on obtient la visa premier avec 5000 euros d epargne 
51,0,0.0,1.0,Rapide et clair
52,0,1.0,0.0,Reponses tres claires
53,1,0.0,0.0,lamentable service client
54,0,0.0,1.0,echange rapide efficace courtois   
55,1,0.0,0.0,"Le conseiller a couper le TCHAT sans raison
"
56,1,0.0,0.0,beaucoup de temps pour repondre... incompetence... on ma froidement rediriger vers le 0800... inacceptable !!!
57,1,0.0,0.0,manque de reactivite peut etre?
58,0,1.0,0.0,a propos des question er repeonses  voila sans plus quoi!
59,0,0.0,1.0,"tres pratique le chat, la reponse a ma question a ete immediate."
60,0,0.0,1.0,"Vraiment tres satisfaisant, reactif et clair. HB a gagne une cliente "
61,0,0.0,1.0,rapide et efficace
62,0,0.0,1.0,Reponse rapide
63,1,0.0,0.0,meconnaissance des produits et manque de service
64,1,0.0,0.0,pas de reponse
65,0,0.0,1.0,Reponse claire et rapide
66,1,0.0,0.0,"TELEPHONE INJOIGNABLE? PAS DE REPONSE A MA QUESTION, VOUS ETES UNE BANQUE FANTOME???"
67,1,0.0,0.0,"aucune comprehension
"
68,0,0.0,1.0,"Simple, efficace"
69,1,0.0,0.0,"conversation coupee avant la fin, pas de reponse au probleme, pas tres prometteur comme communication pour la suite."
70,0,1.0,0.0,TETS MOA EMILIEN 15h17 19/07/2016
71,0,0.0,1.0,Reponse tres precises et professionnelles
72,0,0.0,1.0,clair et limpide
73,1,0.0,0.0,Pas de reponse a ma question.Conversation coupee sans reponse
74,0,0.0,1.0,reponse rapide
75,1,0.0,0.0,conseiller ne repond pas
76,0,0.0,1.0,RAPIDE ET PRECIS
77,1,0.0,0.0,Pas de reponses claires aux questions posees. 
78,0,1.0,0.0,rapide et concis
79,0,0.0,1.0,"Apres tres long delai initial, des informations fournis rapidement."
80,1,0.0,0.0,Conversation coupee sans reponse :((((
81,0,0.0,1.0,"Reactivite, efficacite"
82,0,0.0,1.0,Ma correspondante a ete tres reactive et a traitee ma demande rapidement.
83,1,0.0,0.0,c de la merde hello bank
84,0,0.0,1.0,augmentez adeline
85,0,0.0,1.0,reponse claire et action rapide 
86,0,0.0,1.0,Conseiller tres efficace et tres reactif
87,0,1.0,0.0,Obtention de la carte visa premier
88,0,1.0,0.0,"Les conseiller ne peux pas parler Anglais. Ils sont pas access a voir l etat de mon dossier, donc ils ne peuvent pas repondre a mes questions. Le dashboard du chat bug. 

"
89,0,0.0,1.0,"l echange a pu repondre a ma question dans un delai optimum, merci a vous."
90,1,0.0,0.0,c est la 4eme fois que je signale le meme probleme et toujours rien!!!!
91,0,0.0,1.0,"Rien a dire, service parfait"
92,0,1.0,0.0,"le conseiller contacte le service dedie pour un traitement en urgence, donc cela me convient"
93,1,0.0,0.0,La conversation s est close sans que je n obtienne aucune reponse
94,0,0.0,1.0,Chat tres rapide et une reponse parfaite
95,1,0.0,0.0,L echange a ete interrompu par le conseiller apres m avoir reproche d utiliser le mot  prelevement  plutot que  paiement par carte . Rien n a ete regle.
96,0,1.0,0.0,"impression Durant l echange : conseiller peu motive, lent et manque de dynamisme, on dirait qu on l embete"
97,1,0.0,0.0,Le conseiller a coupe le chat 
98,0,1.0,0.0,pas eu de reponse concrete a mes questions
99,1,0.0,0.0,Cela fait 3 fois que je laisse un message et on me ferme la fenetre sans me repondre.... Inadmissible
100,1,0.0,0.0,Cette fois j ai pu poser me question mais je n ai recu aucune reponse et le chat a ete termine.
101,0,0.0,1.0,Rapidite de prise en charge. Et rapidite de reponse. En esperant qu elle soit correcte.
102,0,1.0,0.0,Hello Bank n accepte pas les Francais non residents fiscal en France. Ca ne me satisfait pas vraiment.
103,0,0.0,1.0,"conseiller reactif merci a lui, mon pb est regle apparemment, ouverture de compte finalisee ds qqes jours "
104,1,0.0,0.0,je n ai pas eu le temps de lire la reponse du conseiller que la fenetre affichait conversation terminee... 
105,0,0.0,1.0,"Ariana, the best there is. Sharp information, polite, clever, friendly. Some of your counselors could learn from her ;)"
106,0,1.0,0.0,TEST MOA EMILIEN 9h25 - 27/07/2016
107,0,1.0,0.0,TEST MOA EMILIEN 9h30 27/07/2016
108,1,0.0,0.0,"Je demande l avancement de mon dossier car ce dernier est bloque je ne sais pour quelle raison, resultat on me demande d appeler!!! C est un peu complique toutes ces demarches..."
109,0,1.0,0.0,"Reponses simples et precises, mais un peu deshumanise je trouve."
110,0,0.0,1.0,tres bien renseigner
111,1,0.0,0.0,On ne m a jamais repondu...
112,0,1.0,0.0,information contradictoire entre la personne du chat et celle que j  ai eu au telephone
113,1,0.0,0.0,Incapable de donner une reponse 
114,1,0.0,0.0,Aucune reponse de la part du conseille
115,0,1.0,0.0,TEST MOA EMILIEN 10H02 28/07/2016
116,0,0.0,1.0,Rapidite et simplicite des echanges
117,1,0.0,0.0,Aucune reponse
118,0,1.0,0.0,Je n ai pas eu d infos sur le delai de validation de la creation du compte
119,1,0.0,0.0,NUL
120,0,1.0,0.0,la rapidite
121,0,0.0,1.0,tres bien
122,0,0.0,1.0,rapide et efficace
123,0,0.0,1.0,Reponses claires
124,0,1.0,0.0,"N?ayant pas recu de document depuis un mois apres inscription, j?ai du faire une demande de renvoi de documents, il me manque toujours l?identifiant, alors que j?ai recu la carte bancaire et le code personnel? Peu encourageant tous ces courriers ! "
125,0,1.0,0.0,Reponse claire
126,1,0.0,0.0,N a pas fini de repondre a mes questions.
127,0,1.0,0.0,je n ai pas eu les informations demandees concernant le traitement de ma demande de credit personnel
128,0,0.0,1.0,je pense ouvrir un compte
129,1,0.0,0.0,Service lamentable. je change de banque.
130,1,0.0,0.0,Conversation coupee en cours de route !!
131,1,0.0,0.0,pas de solution adequate
132,0,1.0,0.0,offre de bienvenue plus basse que les concurents
133,0,0.0,1.0,"la solution du changement de navigateur etait la bonne:-)
votre site fonctionne bien sur IES et moins sur firefox"
134,0,0.0,1.0,obligation d avoir 2 portables pour compte joint !!!!!!
135,1,0.0,0.0,je suis decue le conseiller ne m a pas vraiment repondu
136,0,0.0,1.0,Benoit est un conseiller tres agreable!
137,0,1.0,0.0,temps attente des reponses quelques fois longues
138,0,0.0,1.0,Clarte et rapidite des messages. 
139,0,1.0,0.0,informations completes
140,0,0.0,1.0,"Tres utile, merci!"
141,1,0.0,0.0,j attendais des nouvelles de Melanie et aucune reponse
142,0,0.0,1.0,"J ai obtenu les reponses aux questions que je posais, sans difficutes"
143,1,0.0,0.0,"Aucune reponse. Temps d attente entre deux message d environ deux minutes. Il faut avoir du temps, beaucoup de temps a perdre ! :/"
144,0,1.0,0.0,J aurais aime pouvoir sauvegarder ma conversation
145,1,0.0,0.0,"Le conseiller ne donnait pas suite a mes questions. Par ailleurs, il s exprimait mal."
146,1,0.0,0.0,Aucune reponse a mon probleme 
147,1,0.0,0.0,je n ai pas resolu mon probleme suite au tranfert de mon compte Bnp vers Hello Bank
148,0,1.0,0.0,"Je n ai eu que des liens vers des sites que j ai deja pu consulter et aucune information complementaire, je suis plutot decue"
149,0,0.0,1.0,le chat est reactif 
150,0,1.0,0.0,Satisfait de cet echange
151,1,0.0,0.0,reponse completement insatisfaisante ! 
152,0,0.0,1.0,rapidite de reponse
153,1,0.0,0.0,PAs de reponse
154,1,0.0,0.0,"Je n ai pas eu de reponse pendant les 1ere 20 minutes, puis quand je suis retourne sur la fenetre un peu plus tard, la conversation etait fermee... resultat = aucune reponse"
155,0,1.0,0.0,"je n ai pas eu de solution, alors que ma question etait simple"
156,0,1.0,0.0,Clair et efficace
157,0,0.0,1.0,Merci Sebastian pour votre aide.
158,0,1.0,0.0,"BONNES REPONSES
MAIS UEN FOIS QUE LE CONSEILLER  A FERMER LA CONVERSARTION JAI PAS PU VOIR LA REPONSE CAR JAI EU UN COUP D ETELEPHONE"
159,0,0.0,1.0,"Noemie est tres gentille et serviable, m a aide dans mes demandes et m a conseillee sur d autres sujets auxquels on ne pense pas forcement. Je recommande !!!"
160,0,0.0,1.0,tenu compte de ma demande
161,0,1.0,0.0,esperons que cela va vraiment accelerer les choses... mon dossier est en attente depuis 1 mois !
162,0,0.0,1.0,tres bien renseigne et tres claire et tres gentil merci a alexis
163,0,1.0,0.0,"la conseillere etait longue a repondre de plus on chipote pour une adresse qui de plus est bonne, le debut de notre collaboration commence mal"
164,0,1.0,0.0,Solution apportee a mon probleme.
165,1,0.0,0.0,coupure de la conversation avant reponse finale.
166,0,0.0,1.0,"Cool d avoir pu traiter ma demande par chat, mes enfants sont a la sieste, je voulais gerer ca en mode  silence ..."
167,1,0.0,0.0,"Aucune precision sur l avancement de mon dossier , probleme non resolu, reponse tres vague "
168,0,1.0,0.0,temps d attente pour l ouverture d un compte tres long !
169,0,0.0,1.0,"Vous ne misez pas sur l avenir je suis en derniere annee d ecole de commerce et je suis en alternance, je dois faire un depot de 5000 EUROS pour pouvoir ouvrir un compte chez vous. C est regrettable..."
170,0,0.0,1.0,parfait dommage qu on ne puisse pas ouvrir de compte pour un mineur ...
171,0,0.0,1.0,"Temps d attente nul, reactivite du conseiller, reponse rapide"
172,0,0.0,1.0,Rapidite de reponse et clarete de reponse
173,0,0.0,1.0,"Tres satisfait, le conseiller etait tres efficace"
174,1,0.0,0.0,"aucun service, nous ne sommes que des numero. les situations exceptionnelle ne sont pas prise en compte contrairement a boursorama. je fermerai donc mon compte chez."
175,0,0.0,1.0,Des reponses claires et rapides a mes questions
176,1,0.0,0.0,20min sans reponses d un conseiller...
177,0,0.0,1.0,Perrine semble avoir compris mon probleme et m a promis la solution par courrier a Ma nouvelle adresse a Lambesc.
178,0,0.0,1.0,"Facilite, merci Emilie"
179,0,1.0,0.0,le temps d attente de reponse apres chaque question est trop long
180,0,0.0,1.0,evite de longue attende au telephone 
181,0,0.0,1.0,sympathique et efficace
182,1,0.0,0.0,"pas de reactivite
"
183,1,0.0,0.0,bloquer en plein milieu sans aucune aide
184,0,1.0,0.0,"je pensais ne plus etre en ligne , car je n avais plus de reponse, mais ensuite cela s est arrange"
185,0,1.0,0.0,"reponses claires, rapides et precises"
186,0,1.0,0.0,le conseiller a pris en charge ma demande et a effectue la commande de mon moyen de paiement qui n avait pas ete fait il y a 10 jours comme cela aurait du...
187,0,1.0,0.0,"Ca fait une semaine que je fais les demarches pour ouvrir un compte, a chaque fois que je parle a quelqu un sur le Chat, on me donne des reponses differentes
"
188,0,1.0,0.0,"Cela fait deja 3 semaines que j attends, ce n est pour qu on me dise qu il y a encore un delai de traitement de 3 jours ouvres !!
"
189,1,0.0,0.0,"je n ai pas fini de poser mes questions et je n ai eu aucun retour
"
190,1,0.0,0.0,Conversation coupee sans prevenir...
191,0,0.0,1.0,Reponse immediate et adaptee
192,1,0.0,0.0,On a ferme la fenetre de conversation !
193,0,0.0,1.0,C etait agreable et precis
194,0,0.0,1.0,"Clair, net, precis"
195,0,0.0,1.0,Rapide et efficace
196,0,0.0,1.0,reactivite -rapidite
197,1,0.0,0.0,votre service est decevant 
198,1,0.0,0.0,desolee mais je n ai pas vu de reponse...
199,0,1.0,0.0,Quelques infos interessantes mais surtout le fait qu il faut attendre ...
200,0,1.0,0.0,J ai obtenu via ce chat des informations contradictoires avec ce que d autres conseillers HELLOBANK! avaient pu me donner precedemment...
201,1,0.0,0.0,Oblige d insister pour obtenir une information ... 
202,1,0.0,0.0,la personne n a nullement repondu a mes messages ... abonne absent ...
203,0,1.0,0.0,je n ai pas eu de reponse
204,1,0.0,0.0,Aucune reponse clair depuis des mois!
205,0,1.0,0.0,j ai eu la reponse a mes question. Rien a dire
206,0,1.0,0.0,"Je n ai recu aucune reponse de la part du conseiller, je parlais seul"
207,1,0.0,0.0,nul pas de reponse
208,0,1.0,0.0,reponse rapide et annotation dans mon dossier de la fourniture d un justificatif 
209,0,1.0,0.0,tres bons renseignements et rapides
210,1,0.0,0.0,La conversation a ete coupee par l interlocuteur brutalement !
211,0,0.0,1.0,Conseillere tres reactive et qui a bien repondu a ma demande.
212,0,1.0,0.0,"Conseiller et reponse attendue correcte dans des delais correctes, le seul souci c est trouver l option  chat avec conseiller  dans le menu d accueil, il est cache alors que ce mode de conversation est TRES pratique"
213,1,0.0,0.0,je n ai pas recu de reponse
214,0,1.0,0.0,Tres bien
